睡眠指标,比较组合,T统计量,未校正p值,校正后p值,Hedges效应量,校正后是否显著,条件A编码,条件B编码
深睡眠比例,优化光照（夜间助眠模式） vs 普通LED光照,-0.13697280252207678,0.8937707758272986,1.0,-0.06165870185488347,否,A,B
深睡眠比例,优化光照（夜间助眠模式） vs 黑暗环境,-3.220468774117813,0.009167857806391202,0.027503573419173605,-1.1599853390704493,是,A,C
深睡眠比例,普通LED光照 vs 黑暗环境,-2.104231388983019,0.061637237643663856,0.18491171293099157,-0.8264108446946352,否,B,C
