时间,蓝光权重,绿光权重,红光权重,暖白光权重,冷白光权重,目标色温CCT,合成色温CCT,目标Duv,合成Duv,目标mel_DER,合成mel_DER,光谱均方根误差,相关系数
05:30,0.397025478816,0.0824087737168,0.329665624125,5.01498657877e-08,0.190900073192,5344.75689195,5344.75706109,0.00246040085996,-0.0409778162262,0.867497930515,0.86749731934,0.94258682489,0.307171477032
06:30,0.394635605349,0.084103912772,0.330950751141,4.6211565216e-08,0.190309684526,5320.95828682,5320.95821518,0.00252949040922,-0.0404610064331,0.863819417432,0.863818529471,0.942456825097,0.300885254826
07:30,0.392249188515,0.0858792625049,0.332331691487,6.59730115271e-12,0.189539857486,5296.77022956,5296.77020512,0.00260138339753,-0.0399491553508,0.860050400315,0.860049660599,0.942361086334,0.294277757389
08:30,0.389723834397,0.0876628519425,0.33373120179,1.52929764281e-25,0.18888211187,5272.18666734,5272.18681617,0.00267623109859,-0.0394138663443,0.8561874975,0.85618749584,0.942302853349,0.28773654904
09:30,0.400435172495,0.0799588823184,0.327717486743,1.64274158542e-17,0.191888458443,5381.76843925,5381.76576324,0.00228360067843,-0.0416982959906,0.872863403952,0.8728626868,0.94294656166,0.316917834126
10:30,0.402680383866,0.0830600967983,0.324561371798,1.37277745798e-22,0.189698147537,5483.63834971,5483.63835251,0.00195121469248,-0.0408616051323,0.88781792059,0.873744663114,0.937675700263,0.350240062824
11:30,0.403862895853,0.0867692965157,0.321648680235,2.43866241084e-21,0.187719127396,5578.7392635,5578.73925645,0.00166720777186,-0.0397453413907,0.901304504413,0.873248152073,0.932509565652,0.380523582136
12:30,0.405235975492,0.0899685339028,0.318913881037,1.05413846568e-24,0.185881609568,5667.45942545,5667.45940848,0.00142253513725,-0.0387941054857,0.913529181721,0.873194712954,0.928362663782,0.406076773763
13:30,0.404188938779,0.086774307898,0.321460297572,3.97284181483e-24,0.187576455751,5584.85771488,5584.85770965,0.0015675833763,-0.0397656733249,0.90264311735,0.873581818763,0.932689111661,0.381037661626
14:30,0.403294706391,0.0831010158424,0.324165640627,2.72772414547e-12,0.189438637136,5495.93622573,5495.93622588,0.00173968633576,-0.0408869055394,0.890598701441,0.874370683386,0.937939785654,0.351320945409
15:30,0.402611792471,0.0788341814134,0.327008766204,4.90601941688e-12,0.191545259907,5399.93851423,5399.93851575,0.00194565091767,-0.0421856990604,0.877200659987,0.875705528836,0.944386302267,0.316578462348
16:30,0.39264516919,0.0839523633988,0.331611551698,1.2542117864e-07,0.191790790293,5295.85618839,5295.856249,0.00219452553541,-0.0402517487194,0.862207213507,0.862185363229,0.943841145261,0.288334606612
17:30,0.380615239334,0.0908049724014,0.339270432101,1.24760559635e-16,0.189309356164,5154.26603369,5154.26600086,0.0018246189262,-0.0382238712016,0.844700881384,0.844700735626,0.952235275552,0.207192572093
18:30,0.364462064744,0.112187275604,0.364407922438,1.98411298487e-23,0.158942737214,4834.1491961,4834.14925813,0.00107535925718,-0.0358565262512,0.80256657198,0.802566550129,0.983613361952,0.00380009024839
19:30,0.323404493831,0.195958924478,0.464245482353,0.0163910993383,3.6115373053e-27,3463.92550233,3463.92551457,0.00115335501857,-0.0275387359962,0.560583616574,0.56058362671,1.1215922306,-0.205182921991
