模式,CCT(K),Duv,Rf,Rg,mel-DER,蓝光权重,绿光权重,红光权重,暖白权重,冷白权重
日间照明,5538.97620053,0.00884213506999,92.6769837242,102.914508457,0.741101265724,0.147656524907,0.190783965002,0.262591912253,0.000982883761474,0.397984714078
夜间助眠,2559.47537424,0.00319947721879,92.0656529497,98.2555600074,0.27679755906,0.0,0.177474611485,0.211979687544,0.610545700971,0.0
